Lithic ID,TA,Main,,,,Metrics,,,,,,,Implement Description,,,,,,,,,,,,,,Platform Typology,Removal blank,Core Typology,Termination,Comments,Photo Number,Sketch Number
,,Raw Material,Colour/Grain/Opacity,Pattern,Cortex (%),Weight (g),Length (mm),Width (mm),Thickness (mm),Bulb Thickness (mm),Platform Thickness (mm),platform Length (mm),Eraillure,Typology,Utilization,Retouch,Retouch Position,Retouch Localization,Retouch Distribution,Retouch Intensity,Retouch ANGLE,RETOUCH MORPHOLOGY,SHINE,Blank,Breakage,Num of Scars on Cores,,,,,,,
1633,TP1/45,,,,0,,19,11,2,2.6,4,1,0,,0,0,,,,,,,0,BLADELET,0,,LINEAR,,,,,,
1636,TP1/45,,,,0,,10,9.3,3,,,,,SIDE SCRAPER ?,0,1,INVERSE,,COUNTINOUS,SHORT,LOW,SAB PARALLEL,0,BLADELET,0,,,,,,,,
1635,TP1/45,,,,0,,10,10,2,,,,,,0,0,,,,,,,0,BLADELET/MED,0,,,,,,,,
1623,TP1/45,,,,0,,5.5,10,2.7,2.9,3.6,1.2,0,RETOUCHED PIECE,0,1,DIRECT,,PARTIAL,SHORT,LOW,SUB PARALLEL,0,BLADELET/ PRO,0,,LINEAR,,,,,,
1623,TP1/45,,,,0,,2.1,2.4,15.6,6,,,0,,0,0,,,,,,,0,BLADE/MED,0,,,,,,,,
1655,TP1/56,,,,0,,27,9.2,2,2.2,3.9,0.7,0,,0,0,,,,,,,0,BLADELET/PRO,0,,LINEAR,,,,BURNT,,
1991,TP1/56,,,,0,,15.5,7.9,2.6,2.8,3.1,1.1,0,,0,0,,,,,,,0,BLADELET/PRO,0,,LINEAR,,,,,,
1662,TP1/56,,,,0,,26,9,3.4,2.9,1.4,1.2,0,,0,0,,,,,,,0,BLADELET/PRO,0,,PUNCTIFORM,,,,,,
1657,TP1/56,,,,0,,22.7,14,5.3,5.5,8,4,0,,0,1,INVERSE,,PARTIAL,SHORT,LOW,SUB PARALLEL,0,FLAKE,0,,PLAIN,,,,,,
1673,TP1/123,,,,0,,29.6,11.3,2.8,3.1,4,1.8,0,,0,0,,,,,,,0,BLADELET/PRO,0,,LINEAR,,,,BURNT,,
1672,TP1/123,,,,0,,32,10,2.3,2.5,3.8,0.8,0,,0,0,,,,,,,0,BLADELET/PRO,0,,LINEAR,,,,,,
1649,TP1/34,,,,0,,23,7,1.8,,,,,,0,0,,,,,,,0,BLADELET/MED,0,,,,,,,,
1648,TP1/34,,,,0,,27,6,1.5,1.7,2.9,1.2,0,,0,0,,,,,,,0,BLADELET/PRO,0,,LINEAR,,,,,,
1638,TP1/34,,,,0,,52,46,17.5,18.3,11.7,6.9,0,,0,0,,,,,,,0,FLAKE,0,,PLAIN,,,,محور تراشه و محور ریختی زاویه دارد,,
1647,TP1/34,,,,0,,32,8.7,2.1,2.6,2.4,2.5,0,,0,0,,,,,,,0,BLADELET,0,,LINEAR,,,,,,
1643,TP1/34,,,,0,,21,10,2,2.3,,,0,,0,0,,,,,,,0,BLADELET/PRO,0,,BROKEN,,,,,,
1642,TP1/34,,,,0,,22,14,7.9,8.1,8.8,6.2,0,,0,0,,,,,,,0,FLAKE,0,,PLAIN,,,,,,
1640,TP1/34,,,,0,,62.2,40,16,?,?,?,,,0,0,,,,,,,0,FLAKE,0,,?,,,,به دلیل جنس بد سنگ تشخیص بسیاری قسمت ها مشکل,,
1669,TP1/124,,,,0,,30.5,5.3,2,,,,,,0,0,,,,,,,0,BLADELET/MED,0,,,,,,,,
1670,TP1/124,,,,0,,21,6.7,1.2,1.6,2.9,0.9,0,,0,0,,,,,,,0,BLADELET/PRO,0,,LINEAR,,,,,,
1671,TP1/124,,,,0,,14,6,1.6,,,,,,0,0,,,,,,,0,BLADELET/MED,0,,,,,,,,
1664,TP1/124,,,,0,,41,15.8,16.3,,,,,,,,,,,,,,,,,11,,BLADELET,BULLET,,FOSSIL,,
1663,TP1/124,,,,15,,60,22.5,17.2,,,,,,,,,,,,,,0,,,11,,BLADELET,PRISMATIC CORE,,,,
1561,TP1/19,,,,0,,18.5,7.4,2.4,,,,,,0,0,,,,,,,0,BLADELET/DIS,0,,,,,,,,
1560,TP1/19,,,,0,,26.9,6.8,1.5,1.8,,,0,,0,0,,,,,,,0,BLADELET/PRO,0,,LINEAR,,,,,,
1563,TP1/19,,,,0,,46,9.4,2.4,,,,0,,1,0,,,,,,,0,BLADELET,0,,BROKEN,,,,رسوبات زیاد بر روی قطعه که اندازه گیری را ناممکن می کرد,,
1562,TP1/19,,,,0,,20.7,8.6,1.9,,,,,,0,0,,,,,,,0,BLADELET/MED,0,,,,,,,,
1800,TP1/13,,,,10,,43,13,3.6,4,4.8,1.1,0,,1,0,,,,,,,0,BLADELET,0,,LINEAR,,,,,,
1597,TP1/13,,,,0,,37.6,11.8,2.6,2.9,6.6,1.5,1,,1,0,,,,,,,0,BLADELET/PRO,0,,LINEAR,,,,HEAVILY USED,,
1603,TP1/13,,,,0,,26,14,2.4,2.7,3.2,1,0,,0,0,,,,,,,0,BLADELET/PRO,0,,LINEAR,,,,,,
1602,TP1/13,,,,0,,23,9.7,2.2,2.1,3.7,1.7,0,,0,0,,,,,,,0,BLADELET/PRO,0,,LINEAR,,,,,,
1598,TP1/13,,,,0,,16.5,9.1,2.5,,,,0,,1,0,,,,,,,0,BLADELET/MED,0,,,,,,,,
1604,TP1/13,,,,0,,17.4,11,2.1,2.3,,,0,,0,0,,,,,,,0,BLADELET/PRO,0,,?,,,,,,
1605,TP1/13,,,,0,,27,8,1.7,1.9,1.5,0.8,0,,0,0,,,,,,,0,BLADELET/PRO,0,,PUNCTIFORM,,,,,,
1501,TP1/13,,,,0,,18.7,8,3.4,,,,,,0,0,,,,,,,0,BLADELET/DIS,0,,,,,,,,
1599,TP1/13,,,,0,,13,2.6,4.3,,16.4,5.1,0,,0,0,,,,,,,0,FLAKE,0,,FACETTED, ,,,به دلیل جنس بد سنگ تشخیص اینکه قطع شده است و یا سکوی ضربه چند بر مشکل است,,
1596,TP1/13,,,,0,,32.6,26.4,5.8,.,.,.,0,,0,0,,,,,,,0,FLAKE,0,,PLAIN,,,,2 BULB OF PERCUSSION ,,
1591,TP1/13,,,,0,,27,9.8,3.1,2.6,4,1.9,,,0,0,,,,,,,0,BLADELET/PRO,0,,PLAIN,,,,,,
1593,TP1/13,,,,0,,17,9.5,2.4,2.5,3.5,1.7,0,,0,0,,,,,,,0,BLADELET/PRO,0,,PLAIN,,,,,,
1592,TP1/13,,,,0,,16,11,2.3,,,,0,,0,0,,,,,,,0,BLADELET/DIS,0,,,,,,,,
1595,TP1/13,,,,0,,9.7,7.2,1.9,,,,,,0,0,,,,,,,0,BLADELET/MED,0,,,,,,,,
1594,TP1/13,,,,0,,15,7,1.2,1.5,2.2,1,0,,0,0,,,,,,,0,BLADELET/PRO,0,,PUNCTIFORM,,,,,,
1590,TP1/13,,,,0,,25.7,11.6,3.5,,,,,,0,0,,,,,,,0,BLADELET/MED,0,,,,,,,,
1541,TP1/57,,,,0,,59,11.3,2.8,2.9,4.4,1.1,0,,1,0,,,,,,,0,BLADELET,0,,LINEAR,,,,ADHESIVE,,
1521,TP1/57,,,,0,,36.8,12.7,3.5,,,,,SIDE SCRAPER ?,1,1,INVESRSE,,COUNTINOUS,SHORT,LOW,SUB PARALLEL,1,BLADELET/MED,0,,,,,,ADHESIVE,,
1555,TP1/57,,,,0,,26.3,11.2,3,,,,,DOUBLE SIDE SCRAPER ?,1,1,INVESRSE,,COUNTINOUS,SHORT,LOW,SUB PARALLEL,1,BLADELET/MED,0,,,,,,,,
1539,TP1/57,,,,0,,38.5,10.8,2.2,2.1,1.8,,0,RETOUCHED PIECE,0,1,DIRECT,,PARTIAL,SHORT,LOW,SUB PARALLEL,0,BLADELET,0,,LINEAR ?,,,,,,
1549,TP1/57,,,,0,,22.8,10.4,1.5,,,,,,0,0,,,,,,,0,BLADELET/MED,0,,,,,,,,
1528,TP1/57,,,,0,,35.4,11.8,2.6,2.7,3.4,1.4,0,,1,0,,,,,,,0,BLADELET/PRO,0,,PUNCTIFORM,,,,,,
1517,TP1/57,,,,0,,34,10,"2,4",3,4.4,1.6,0,,1,0,,,,,,,0,BLADELET/PRO,0,,PLAIN,,,,ADHESIVE,,
1558,TP1/57,,,,0,,20.4,10.1,2.6,,,,0,,1,0,,,,,,,0,BLADELET/MED,0,,,,,,,,
1543,TP1/57,,,,5,,17.9,11,2.2,2.8,3.3,1.3,0,,0,0,,,,,,,0,BLADELET/PRO,0,,PUNCTIFORM,,,,,,
1553,TP1/57,,,,0,,19.3,10,2.9,,,,,RETOUCHED PIECE,0,1,DIRECT,,PARTIAL,SHORT,LOW,SUB PARALLEL,0,BLADELET/MED,0,,,,,,,,
1536,TP1/57,,,,0,,30,12,3.4,3.7,3.2,0.9,0,,1,0,,,,,,,0,BLADELET/PRO,0,,LINEAR,,,,,,
1531,TP1/57,,,,0,,26.5,11,2.5,2.8,3.6,1.2,0,,1,0,,,,,,,0,BLADELET/PRO,0,,LINEAR,,,,BURNT,,
*1589,"TP1/5,57",,,,0,,26,9.5,2.3,,,,,BORER/ DRILL,1,1,DIRECT,,COUNTINOUS,SHORT,ABRUPT,SUB PARALLEL,0,BLADELET,0,,,,,,,,
1613,TP1/23,,,,0,,35,8,2.2,,,,,,0,0,,,,,,,0,BLADELET/MED,0,,,,,,,,
1614,TP1/23,,,,0,,21,12,2.2,2.6,3.2,1,0,,0,0,,,,,,,0,BLADELET/PRO,0,,PUNCTIFORM,,,,,,
1615,TP1/23,,,,0,,36,10,2,2.3,3.3,1.2,0,,1,0,,,,,,,0,BLADELET,0,,PUNCTIFORM,,,,,,
1788,TA/45,,,,0,,28,16,3.5,3.1,8,1.9,0,,1,0,,,,,,,0,BLADE,0,,BROKEN,,,,,,
1764,TA/45,,,,0,,37.3,12,2.8,3.8,7.2,2.1,0,RETOUCHED PIECE (SIDE SCRAPER?),0,1,INVERSE,LEFT/RIGHT,COUNTINOUS,SHORT,LOW,SUB PARALLEL,0,BLADELET/PRO,0,,,,,,,,
1754,TA/45,,,,0,,29,10,2.9,,,,,NOTCH,0,1,DIRECT,RIGHT,PARTIAL,SHORT,LOW,SUB PARALLEL,0,BLADELET/MED,0,,,,,,,,
1771,TA/45,,,,0,,32,9,3.3,,,,,,0,1,DIRECT,RIGHT/LEFT,COUNTINOUS,SHORT,ABRUPT,SUB PARALLEL,0,BLADELET/DIS,0,,,,,,,,
1790,TA/45,,,,0,,21.7,9.8,3,,,,,RETOUCHE PIECE (SIDE SCRAPER?),1,1,DIRECT,RIGHT,COUNTINOUS,SHORT,LOW,SUB PARALLEL,0,BLADELET/MED,0,,,,,,,,
1792,TA/45,,,,0,,25,10,3.2,,,,,RETOUCHED PIECE (DOUBLE SIDE SCRAPER),0,1,INVERSE,LEFT/RIGHT,COUNTINOUS,SHORT,LOW,SUB PARALLEL,0,BLADELET/DIS,0,,,,,,,,
*1796,TA/45,,,,0,,31,7.5,1.9,,,,,RETOUCHED PIECE (DOUBLE SIDE SCRAPER),0,1,BIFACE,LEFT/RIGHT,COUNTINOUS,SHORT,LOW,SUB PARALLEL,0,BLADELET/DIS,0,,,,,,,,
1749,TA/45,,,,0,,32.4,14.5,4.1,4.7,2,1,0,RETOUCHED PIECE (DOUBLE SIDE SCRAPER?),0,1,ALTERNATE,LEFT/RIGHT,COUNTINOUS,SHORT,LOW,SUB PARALLEL,0,BLADELET/PRO,0,,PUNCTIFORM,,,,,,
1753,TA/45,,,,0,,62,13.5,4,,,,,RETOUCHE PIECE,0,1,ALTERNATING,MESIAL (ONE SIDE),DISCOUNTINOUS,SHORT,LOW,SUB PARALLEL,1,BLADE/ MED,0,,,,,,adhesive,,
1794,TA/45,,,,0,,37.2,10.8,3.6,,,,,INVERSE NOTCH,1,1,INVERSE,LEFT,PARTIAL,SHORT,LOW,SUB PARALLEL,1,BLADELET/DIS,0,,DIHEDRAL,,,,,,
1765,TA/45,,,,0,,27.2,9.2,2.5,2.7,3.4,1.4,0,RETOUCHED PIECE,1,1,INVERSE,LEFT,COUNTINOUS,SHORT,LOW,SUB PARALLEL,0,BLADELET/ PRO,0,,,,,,,,
1781,TA/45,,,,0,,20.3,7.4,2.3,,,,,,1,0,,,,,,,1,BLADELET/MED,0,,,,,,BURNT,,
1758,TA/45,,,,0,,23,11.5,3.7,,,,,NOTCH,0,1,DIRECT,RIGHT,COUNTINOUS,SHORT,LOW,SUB PARALLEL,0,BLADELET/MED,0,,BURNT,,,,,,
1783,TA/45,,,,0,,20.4,9.7,4.3,,,,,RETOUCHE PIECE (DOUBLE SIDE SCARAPER?),0,1,ALTERNATING,RIGHT/LEFT,COUNTINOUS,SHORT,LOW,SUB PARALLEL,0,BLADELET/MED,0,,,,,,,,
1798,TA/45,,,,0,,21.9,7,2.1,2.5,5.1,1.8,0,,1,0,,,,,,,0,BLADELET/PRO,0,,PLAIN,,,,,,
1789,TA/45,,,,0,,22.9,11,3.4,,,,,RETOUCHED PIECE,0,1,DIRECT,RIGHT/ LEFT,PARTIAL,SHORT,LOW,SUB PARALLEL,0,BLADELET/ MED,0,,,,,,,,
1797,TA/45,,,,0,,24.4,11,2.7,,,,,,1,0,,,,,,,0,BLADELET/DIS,0,,,,,,,,
1801,TA/45,,,,0,,21.8,5.1,1.1,,,,,retouched piece,1,1,direct,left,COUNTINOUS,SHORT,abrupt,SUB PARALLEL,0,BLADELET/DIS,0,,,,,,,,
1755,TA/45,,,,0,,22.6,9.2,2.3,2.6,1.8,0.6,,retouched piece( double side scraper?),0,1,direct,left/right,COUNTINOUS,SHORT,low,scaled (?),0,bldelet/pro,0,,punctoform,,,,,,
1833,TA/56,,,,0,,54.9,15.5,3.7,,,,,retouched piece,1,1,ALTERNATE,LEFT/RIGHT,COUNTINOUS,SHORT,LOW,SUB PARALLEL,0,BLADELET/MES,0,,,,,,ADHESIVE,,
*1811,TA/56,,,,0,,65.6,13.7,2.4,3.2,2.5,0.6,0,DOUBLE SIDE SCRAPER,1,1,ALTERNATE,LEFT/RIGHT,COUNTINOUS,SHORT,LOW,SUB PARALLEL,0,BLADELET,0,,LINEAR,,,,,,
1837,TA/56,,,,0,,21.3,10.7,2.5,,,,,NOTCH ON RETOUCHE PIECE,0,1,ALTERNATING,RIGHT,COUNTINOUS,SHORT,LOW,SUB PARALLEL,0,BLADELET/ MED,0,,,,,,,,
1810,TA/56,,,,20,,50,37,38.4,12.1,13.7,,0,RETOUCHED PIECE,0,1,DIRECT,LEFT,PARTIAL,SHORT,LOW,.,0,FLAKE,0,,CORTICAL,,,,,,
1808,TA/56,,,,5,,54.6,22.3,8.7,,7.4,2.5,,,1,0,,,,,,,0,BLADE,0,,PLAIN,,,,,,
1830,TA/56,,,,0,,33.5,11.7,5.1,5.4,5.1,1.5,0,RETOUCHED PIECE (DOUBLE SIDE SCRAPER?),0,1,DIRECT,LEFT/RIGHT,COUNTINOUS,SHORT,LOW,SUB PARALLEL,0,BLADELET/PRO,0,,LINEAR,,,,,,
1824,TA/56,,,,0,,40,12.5,2.7,3.3,4.5,2,0,,1,0,,,,,,,0,BLADELET/PRO,0,,PLAIN,,,,,,
1851,TA/56,,,,0,,21.4,8.3,2.3,2.7,3,1.5,0,,1,0,,,,,,,0,BLADELET/PRO,0,,PLAIN,,,,,,
1819,TA/56,,,,0,,33.1,12.1,4.6,,,,,RETOUCHED PIECE (SOUBLE SIDE SCRAPER),0,1,ALTERNATE,LEFT/RIGHT,COUNTINOUS,SHORT,LOW,SUB PARALLEL,0,BLADELET/MED,0,,,,,,,,
1825,TA/56,,,,0,,38.3,9.9,2.6,3.2,4.3,1.3,0,RETOUCHED PIECE (DOUBLE SIDE SCRAPER?),0,1,ALTERNATE,LEFT/RIGHT,COUNTINOUS,SHORT,LOW,SUB PARALLEL,1,BLADELET/PRO,0,,PLAIN,,,,,,
1846,TA/56,,,,0,,23.1,7.1,2.3,,,,,RETOUCHED PIECE,1,1,DIRECT,ONE SIDE,PARTIAL,SHORT,LOW,SUB PARALLEL,0,BLADELET/MED,0,,,,,,,,
1834,TA/56,,,,0,,21,13.5,2,,,,,RETOUCHED PIECE (DOUBLE SIDE SCRAPER?),0,1,DIRECT,LEFT/RIGHT,CONTINOUS,SHORT,LOW,SUB PARALLEL,0,BLADELET/MED,0,,,,,,,,
1814,TA/56,,,,0,,19,6.8,2.1,,,,,RETOUCHED PIECE (SIDE SCRAPER?),1,1,ALTERNATING,LEFT/RIGHT,COUNTINOUS,SHORT,LOW,SUB PARALLEL,0,BLADELET/MED,0,,,,,,,,
1850,TA/56,,,,0,,30.2,9.3,2.6,3.8,4.6,1.8,0,POINT?,0,1,DIRECT,LEFT/RIGHT,CONTINOUS,SHORT,LOW,SUB PARALLEL,0,BLAELET,0,,PLAIN,,,,,,
1819,TA/56,,,,0,,25.8,10.6,3.2,3.9,3.7,1.7,0,NOTCH,0,1,DIRECT,LEFT,CONTINOUS,SHORT,LOW,SUB PARALLEL,0,BLADELET/PRO,0,,PLAIN,,,,,,
1806,TA/56,,,,,,,,,,,,,CHUNK,,,,,,,,,,,,,,,,,,,
1818,TA/56,,,,0,,31.6,9.9,2.2,2.8,5.8,1.5,0,SIDE SCRAPER ,1,1,ALTERNATING,LEFT,CONTINOUS,SHORT,LOW,SUB PARALLEL,1,BLADELET,0,,PLAIN,,,,,,
1741,TA/45,,,,10,,69,77.8,11,14.5,,,,CORE TABLET,0,0,,,,,,,0,FLAKE,0,,BROKEN,,,,,,
1739,TA/45,,,,0,,41.8,20.4,18.7,,,,,CORE,0,0,,,,,,,,,0,,,BLADELET,PYRAMIDAL PRESSURE CORE,,CORE TABLET REMOVED,,
1746,TA/45,,,,5,,39.7,22.3,10.5,,,,,CORE,,,,,,,,,0,,0,,,BLADELET,FLAT CORE WITH ONE DEBITAGE SURFACE/PRESSURE,,,,
1733,TA/45,,,,0,,73.1,29.7,25,16.3,17.8,23.5,12.6,CORE FRAGMENT,0,0,,,,,,,0,,0,,PLAIN,BLADE,CORE FRAGMENT,,,,
1737,TA/45,,,,30,,24.4,27,18.7,,,,,,0,0,,,,,,,0,,0,,,BLADELET,CILANDRICAL/PRESSURE,,,,
1723,TA/56,,,,0,,42,14,9.5,,,,,,,,,,,,,,,,0,,,BLADELET,BULLET/PRESSURE,,,,
1730,TA/56,,,,0,,31.8,13.9,13,,,,,,,,,,,,,,,,0,,,BLADELET,BULLET/PRESSURE,,,,
1731,TA/56,,,,0,,30.5,17.2,11.7,,,,,,,,,,,,,,,,,,,BLADELET,PYRAMIDAL/PRESSURE,,,,
1729,TA/56,,,,5,,40.8,17.8,20.5,,,,,,,,,,,,,,0,,0,,,BLADELET,PYRAMIDAL/PRESSURE,,FOSSIL,,
2064,TA/267,,,,0,,36.5,12.5,2.9,3,2.8,1.3,0,,0,0,,,,,,,0,BLADELET/PRO,0,,PUNCTIFORM,,,,,,
2102,TA/267,,,,0,,17,10.5,2.1,,,,,,1,0,,,,,,,0,BLADELET/MED,0,,,,,,,,
2062,TA/267,,,,0,,24.7,6.6,1.6,1.9,3.3,0.6,0,,0,0,,,,,,,0,bladelet/pro,0,,linear,,,,,,
2007,TA/267,,,,0,,36.6,12,2.6,3.2,1.5,0.9,0,,1,0,,,,,,,0,BLADELET/PRO,0,,PUNCTIFORM,,,,,,
2063,TA/267,,,,0,,25,10,2.6,,,,,,1,0,,,,,,,0,BLADELET/MED,0,,,,,,,,
2068,TA/267,,,,0,,32,9.1,2.1,2.6,4.5,1.3,0,,0,0,,,,,,,0,BLADELET/PRO,0,,FACETTED,,,,,,
2081,TA/267,,,,0,,15.3,9.2,1.5,,,,,,0,0,,,,,,,0,BLADELET/MED,0,,,,,,,,
2077,TA/267,,,,0,,21.3,7.7,1.5,1.8,4.5,1.2,0,,0,0,,,,,,,0,BLADELET/PRO,0,,PLAIN,,,,,,
2066,TA/267,,,,0,,34.6,7.8,1.9,2.2,2.8,0.7,0,,0,0,,,,,,,0,BLADELET,0,,LINEAR,,,,,,
2088,TA/267,,,,0,,17.5,12.4,2.8,,,,,,0,0,,,,,,,0,BLADELET/MED,0,,,,,,BURNT,,
2085,TA/267,,,,0,,6.6,6.2,1.2,,,,,,0,0,,,,,,,0,BLADELET/MED,0,,,,,,,,
2056,TA/267,,,,0,,19,8.9,2,2.1,,,,,0,0,,,,,,,0,BLADELET/PRO,0,,BROKEN,,,,BURNT,,
2080,TA/267S,,,,0,,20.1,16,2.7,3.4,3.5,1.1,0,,0,0,,,,,,,0,BLADELET/PRO,0,,LINEAR,,,,,,
2054,TA/267,,,,0,,34,8.7,2.8,2.2,1.7,0.6,1,,0,0,,,,,,,0,BLADELET,0,,PUNCTIFORM,,,,,,
2094,TA/267,,,,0,,12.7,10.8,3.1,,,,,,0,0,,,,,,,0,BLADELET/MED,0,,,,,,,,
2084,TA/267,,,,0,,6.2,9.2,1.5,,,,,,0,0,,,,,,,0,BLADELET/MED,0,,,,,,,,
2060,TA/267,,,,0,,24.2,7,1.4,1.9,3.5,1.2,0,,0,0,,,,,,,0,BLADELET/PRO,0,,LINEAR,,,,,,
2090,TA/267,,,,0,,18.7,6.7,1.3,1.3,2.7,0.6,0,,0,0,,,,,,,0,BLADELET/PRO,0,,LINEAR,,,,,,
2108,TA/267,,,,0,,16.9,6.9,2.5,1.4,,,0,,0,0,,,,,,,0,BLADELET/PRO,0,,LINEAR,,,,,,
2105,TA/267,,,,0,,15.4,5.9,1.4,,,,,,0,0,,,,,,,0,BLADELET/PRO,0,,BROKEN,,,,,,
2016,TA/234,,,,0,,21,12.8,3.3,3.5,2.7,1.2,0,,0,0,,,,,,,0,bladelet/pro,0,,PUNCTIFORM,,,,BURNT,,
2013,TA/234,,,,0,,29.3,10.4,2,2.7,3.1,0.6,0,,0,0,,,,,,,0,BLADELET,0,,LINEAR,,,,BURNT,,
2020,TA/234,,,,0,,34,8.2,2.6,,,,,,0,0,,,,,,,0,BLADELET/MED,0,,,,,,BURNT,,
2014,TA/234,,,,0,,30,9.8,1.8,2,,,0,,0,0,,,,,,,0,BLADELET,0,,PUNCTIFORM,,,,PATINATED,,
2001,TA/234,,,,0,,37,11.8,3.6,2.1,,,,,0,0,,,,,,,0,BLADELET,0,,CRUSHED,,,,,,
1993,TA/234,,,,0,,20.8,10.9,4.1,,,,,,0,0,,,,,,,0,BLADELET/DIS,0,,,,,,,,
2027,TA/234,,,,0,,11,10,1.7,,,,,,1,0,,,,,,,0,BLADELET/MED,0,,,,,,,,
1992,TA/234,,,,0,,29,10,4.2,,,,,,0,0,,,,,,,0,BLADELET/MED,0,,,,,,,,
2032,TA/234,,,,0,,30,11,3.1,4,3.1,1.1,0,,1,0,,,,,,,0,BLADELET/PRO,0,,PUNCTIFORM,,,,,,
1998,TA/234,,,,0,,16.5,12.5,4.3,,,,,,0,0,,,,,,,0,BLADELET/MED,0,,,,,,BURNT,,
2031,TA/234,,,,0,,21.5,9.9,2.5,,,,0,,0,0,,,,,,,0,BLADELET/MED,0,,,,,,,,
2035,TA/234,,,,0,,20.4,8.8,1.7,,,,,,0,0,,,,,,,0,BLADELET/DIS,0,,,,,,,,
2041,TA/234,,,,0,,18.3,9.6,1.6,,,,,,0,0,,,,,,,0,BLADELET/DIS,0,,,,,,,,
2039,TA/234,,,,0,,26,5.9,0.9,1.1,2.4,1,0,,0,0,,,,,,,0,BLADELET/PRO,0,,PUNCTIFORM,,,,,,
2028,TA/234,,,,0,,19.9,7.3,1.8,,,,,,0,0,,,,,,,0,BLADELET/MED,0,,,,,,,,
2015,TA/234,,,,0,,19.8,9.2,2.1,2.4,4.5,1.2,0,,0,0,,,,,,,0,BLADELET/PRO,0,,CORTICAL,,,,,,
2005,TA/234,,,,0,,15,6.2,1.7,,,,,,0,0,,,,,,,0,BLADELET/DIS,0,,,,,,,,
2034,TA/234,,,,0,,19.7,7.5,1.8,1.5,3.3,1.1,0,,0,0,,,,,,,0,BLADELET/PRO,0,,LINEAR,,,,,,
2026,TA/234,,,,0,,22,9,2.3,2.3,4.4,1.3,0,,0,0,,,,,,,0,BLADELET/PRO,0,,LINEAR,,,,,,
2044,TA/234,,,,0,,30,18,16,,,,,,0,0,,,,,,,0,,0,,,BLADELET,PYRAMIDAL/PRESSURE,,,,
2046,TA/234,,,,0,,14,4,1.3,,,,,,0,0,,,,,,,0,BLADELET/MED,0,,,,,,,,
1636,TA/256,,,,0,,53,13,3.8,4.4,6.9,3,0,,1,0,,,,,,,1,BLADELET/PRO,0,,FACETTED,,,,HEAVILY USED,,
1956,TA/256,,,,0,,31,8.3,4.1,,,,,,0,1,DIRECT,LEFT/RIGHT,CONTINOUS,SHORT,LOW,SUB PARALLEL,0,BLADELET/MED,0,,,,,,,,
1947,TA/256,,,,0,,27,12.2,4.1,,,,,DENTICULATE,1,1,DIRECT,LEFT,CONTINOUS,SHORT,LOW,SUB PARALLEL,0,BLADELET/MED,0,,,,,,,,
1953,TA/256,,,,0,,25,7.2,3,2.5,3,1.4,0,,1,0,,,,,,,0,BLADELET/PRO,0,,FACETTED,,,,,,
1941,TA/256,,,,0,,32.7,15.8,4.8,4.2,4.4,1.8,1,,1,0,,,,,,,1,BLADE/PRO,0,,PUNCTIFORM,,,,,,
1957,TA/256,,,,0,,26,11,3,,,,,BORER/DRILL,0,1,ALTERNATE,LEFT/RIGHT,CONTINOUS,SHORT,LOW,SUB PARALLEL,0,BLADLET/PRO,0,,,,,,,,
1959,TA/256,,,,0,,42.9,14.5,4,3.5,5.5,1.2,0,RETOUCHED PIECE,1,1,DIRECT,LEFT,PARTIAL,SHORT,LOW,SUB PARALLEL,0,BLADELET/PRO,0,,LNEAR,,,,,,
1949,TA/256,,,,0,,13.6,13.1,5.5,,,,,RETOUCHED PIECE,0,1,DIRECT,,CONTINOUS,SHORT,LOW,SUB PARALLEL,0,BLADELET/MED,0,,,,,,,,
1933,TA/256,,,,0,,45,9.3,2.4,2.2,,,0,,1,0,,,,,,,0,BLADELET/PRO,0,,LINEAR,,,,,,
1938,TA/256,,,,0,,17.8,12,2.8,2.6,1,1.7,0,,1,0,,,,,,,0,BLADELET/PRO,0,,PUNCTIFORM,,,,,,
1944,TA/256,,,,0,,46,13.7,4.7,4.2,3.7,1.6,0,DOUBLE SIDE SCRAPER,0,1,ALTERNATE,LEFT/RIGHT,CONTINOUS,SHORT,LOW,SUB PARALLEL,0,BLADELET,0,,PLAIN,,,,,,
1958,TA/256,,,,0,,24,18.5,3.5,,,,,RETOUCHED PIECE,0,1,DIRECT,LEFT/RIGHT,CONTINOUS,SHORT,LOW,SUB PARALLEL,0,BLADE/MED,0,,,,,,,,
1960,TA/256,,,,0,,18.5,12.7,3.5,,,,,NOTCH,0,1,DIRECT,LEFT/RIGHT,CONTINOUS,SHORT,LOW,SUB PARALLEL,0,BLADELET/MED,0,,,,,,PATINATED,,
1965,TA/256,,,,0,,20,21.8,9,7,13.2,8.5,0,RETOUCHED PIECE (DOUBLE SIDE SCRAPER?),0,1,DIRECT,LEFT/RIGHT,CONTINOUS,SHORT,LOW,SUB PARALLEL,0,BLADELET/PRO,0,,PLAIN,,,,,,
1948,TA/256,,,,0,,12.4,13,3.3,,,,,NOTCH?,0,1,DIRECT,,CONTINOUS,SHORT,LOW,SUB PARALLEL,0,BLADELET/MED,0,,,,,,,,
1963,TA/256,,,,0,,35,20,11,11,5.2,3,0,RETOUCHED PIECE,1,1,DIRECT,RIGHT/PRO,PARTIAL,SHORT,LOW,SUB PARALLEL,0,FLAKE,0,,PLAIN,,,,,,
1973,TA/256,,,,0,,33,9,1.6,,,,,,1,0,,,,,,,0,BLADELET/DIS,0,,,,,,OBSEDIAN,,
