Lithic ID,TA,AREA,DEPTH (cm),Raw Material,Colour/Grain/Opacity,Pattern,Cortex (%),Weight (g),Length (mm),Width (mm),Thickness (mm),Bulb Thickness (mm),Platform Thickness (mm),platform Length (mm),Eraillure,Typology,Utilization,Retouch,Retouch Position,Retouch Localization,Retouch Distribution,Retouch Intensity,Retouch ANGLE,RETOUCH MORPHOLOGY,SHINE,Blank,Breakage,Num of Scars on Cores,Platform Typology,Removal blank,Core Typology,Termination,Comments,Photo Number
274,56,A,50-60,,,,0,,39.2,9.7,2.3,2.6,5.3,2,1,,1,1,ALTERNATE,,TOTAL ON THE BOTH PROXIMAL EDGE,SHORT,LOW,SUB PARALLEL,0,MICROBLADE,,,PLAIN,,,,,
309,56,A,50-60,,,,0,,20.7,8.4,2.5,,,,,,1,0,,,,,,,,MICROBLADE- MED,,,,,,,,
303,56,A,50-60,,,,0,,34.1,12.2,2.6,3.1,4.6,1.3,0,,1,1,ALTERNATING,,COUNTINOUS,SHORT,SEMI- ABRUPT,SUB-PARALLEL,1,MICROBLADE-?,,,FACETED,,,,,
414,56,A,50-60,,,,0,,27.4,9.8,1.8,,,,,,1,0,,,,,,,,MICROBLADE- MED,,,,,,,BURNT,
355,56,A,50-60,,,,0,,14.8,9.9,2.6,,,,,,0,0,,,,,,,,MICROBLADE- MED,,,,,,,,
277,56,A,50-60,,,,10,,30.7,10.6,1.8,2,4.7,1.1,0,,0,0,,,,,,,,MICROBLADE,,,LINEAR,,,,,
292,56,A,50-60,,,,0,,25.8,8,1.1,1.3,2,0.4,1,,0,0,,,,,,,,MICROBLADE,,,LINEAR,,,,,
276,56,A,50-60,,,,0,,18.2,14.9,3.4,4,4.5,3,1,,0,0,,,,,,,,MICROBLADE- PRO,,,PLAIN,,,,,
368,56,A,50-60,,,,0,,12.8,8,2,,,,,,0,0,,,,,,,0,MICROBLADE- MED,,,,,,,,
340,56,A,50-60,,,,0,,30,9.8,2.6,2.9,3.3,1.2,0,,1,0,,,,,,,,MICROBLADE- ?,,,LINEAR,,,,,
374,56,A,50-60,,,,0,,46,8.7,1.8,2.4,3.9,1,0,,0,0,,,,,,,,microblade,,,LINEAR,,,,,
291,56,A,50-60,,,,0,,24.6,12.6,2.5,2.5,1.2,0.8,0,,1,0,,,,,,,0,MICROBLADE,,,PUNCTIFORM,,,,,
264,56,A,50-60,,,,0,,33.8,6.9,1.6,1.8,2.5,0.8,1,,0,0,,,,,,,0,MICROBLADE,,,LINEAR,,,,,
424,56,A,50-60,,,,0,,20.3,10.4,1.5,,,,,,0,0,,,,,,,0,MICROBLADE- MED,,,,,,,,
284,56,A,50-60,,,,0,,13.9,11.8,2.9,,,,,,,1,DIRECT,,COUNTINOUS,SHORT,SEMI ABRUPT,SUB PARALLEL,0,MICROBLADE- MED,,,,,,,BURNT,
271,56,A,50-60,,,,0,,48.4,13.9,2.6,2.3,2.4,,,NOTCH,1,1,DIRECT,,COUNTINOUS,SHORT,LOW,SUB PARALLEL,0,MICROBLADE,,,PUNCTIFORM,,,,,
409,56,A,50-60,,,,0,,16.9,7.6,2.7,,,,,,0,0,,,,,,,0,MICROBLADE- MED,,,,,,,,
397,56,A,50-60,,,,0,,26.4,12.5,3.2,,,,,,1,0,,,,,,,,MICROBLADE- MED,,,,,,,,
330,56,A,50-60,,,,30,,50,12.5,3.7,4.2,3.4,1.3,,,1,0,,,,,,,,MICROBLADE,,,PUNCTIFORM,,,,,
418,56,A,50-60,,,,0,,20.8,7.5,1.9,,,,,,1,0,,,,,,,0,MICROBLADE- MED,,,,,,,BURNT,
297,56,A,50-60,,,,0,,27.3,11.7,2.6,2.8,3.9,0.8,0,,1,0,,,,,,,0,MICROBLADE,,,LINEAR,,,,,
327,56,A,50-60,,,,0,,17.6,11.5,1.6,,,,,,0,0,,,,,,,0,MICROBLADE,,,,,,,BURNT,
364,56,A,50-60,,,,0,,15,13.6,1.8,,,,,,1,0,,,,,,,0,MICROBLADE- MED,,,,,,,,
353,56,A,50-60,,,,0,,22.7,9.5,2.8,3.2,5,1.9,1,,1,0,,,,,,,0,microblade- PRO,,,PLAIN,,,,,
422,56,A,50-60,,,,0,,26.5,8.4,2.3,,,,,,0,0,,,,,,,0,MICROBLADE- DIS,,,,,,,,
359,56,A,50-60,,,,0,,22.1,10.1,2.4,,,,,,0,0,,,,,,,0,MICROBLADE- MED,,,,,,,,
363,56,A,50-60,,,,0,,24.5,15.8,3.7,,,,,,1,0,,,,,,,0,MICROBLADE- MED,,,,,,,,
376,56,A,50-60,,,,0,,27.4,13.3,2,2.7,5.5,1.4,,,0,0,,,,,,,0,MICROBLADE- PRO,,,FACETTED,,,,,
350,56,A,50-60,,,,0,,32,13.1,2.8,3,3.7,1.4,,,0,0,,,,,,,0,MICROBLADE- PRO,,,PLAIN- PARTIALLY REMOVED,,,,,
429,56,A,50-60,,,,0,,36.2,6.9,1.8,1.9,,,0,,0,0,,,,,,,0,MICROBLADE,,,PLAIN,,,,,
417,56,A,50-60,,,,0,,22.2,6.6,1.7,,,,,,0,0,,,,,,,0,MICROBLADE- MED,,,,,,,,
426,56,A,50-60,,,,0,,19.2,8.2,2.7,,,,0,,1,0,,,,,,,0,MICROBLADE- DIS,,,,,,,,
310,56,A,50-60,,,,0,,23.5,8.1,1.8,2,,,0,,0,0,,,,,,,0,MICROBLADE- PRO,,,PARTIALLY REMOVED,,,,,
270,56,A,50-60,,,,10,,26.3,16.8,4.2,,,,,,0,1,DIRECT,,PARTIAL,SHORT,LOW,SUB-PARALLEL,0,MICROBLADE- DIS,,,,,,,,
293,56,A,50-60,,,,0,,23.7,7,2.1,2.3,,,0,,0,0,,,,,,,0,BLADELET,,,REMOVED,,,,,
